X,Y,Dec,RA,Name
1523,136,44:56:51,6:01:01,beta Aur
1608,274,37:12:44,6:01:06,theta Aur
1438,436,33:56:06,6:54:07,theta Gem
1665,592,22:30:06,6:24:11,mu Gem
1277,535,31:50:30,7:35:53,alfa Gem
1548,589,25:06:34,6:45:11,epsilon Gem
1701,574,22:29:57,6:16:06,eta Gem
1740,531,23:15:37,6:05:21,1 Gem
1789,469,24:34:22,5:50:16,132 Tau
1737,468,25:57:17,5:59:15,139 Tau
1737,428,27:36:55,5:54:36,136 Tau
1210,179,49:10:10,7:28:14,21 Lyn
1040,341,43:07:18,8:24:13,31 Lyn
898,379,41:42:06,9:01:57,10 Uma
930,338,43:38:59,8:53:18,35 Lyn
556,10,56:16:24,11:03:03,beta UMa
903,249,47:57:41,9:00:35,iota UMa
888,267,47:04:30,9:05:00,kappa UMa
796,168,51:35:08,9:34:13,theta UMa
614,322,42:48:46,10:18:17,lambda UMa
587,346,41:23:50,10:23:32,mu UMa
483,275,43:04:54,10:55:08,omega UMa
439,230,44:23:18,11:10:48,psi UMa
353,112,47:40:02,11:47:07,xi UMa
312,433,32:59:01,11:19:34,nu UMa
540,435,36:36:11,10:29:03,beta LMi
421,453,34:06:19,10:54:26,46 LMi
661,486,35:08:43,10:08:37,21 LMi
532,497,33:41:33,10:27:04,30 Lmi
1629,447,29:29:19,6:16:40,kappa Aur
25,120,38:12:34,12:56:58,alfa CVn
134,126,41:14:53,12:34:42,beta CVn
443,323,40:19:18,11:00:36,47 Uma
429,344,39:06:11,11:01:58,49 Uma
90,309,32:56:55,12:17:31,HIP 59856
353,335,38:04:28,11:20:14,55 Uma